name,description,material,fit_type,occasion,care_instructions,category,base_price,sale_price,discount_percent,is_active,is_featured,is_new_arrival,is_best_seller,color_name,color_hex,size,stock_qty,thumbnail_url,gallery_urls
Nettle Pashm Multicolour Woolen Saree,"Inspired by the wild nettle that thrives fearlessly in the mountains, Nettle Pashm is a tribute to strength wrapped in softness. The black base lends quiet power and depth, while the colourful woven motifs bring a burst of life.",Woolen Blend,Regular,"Wedding,Festive",Dry Wash,Saree,48000,43200,10,true,false,true,false,Original,#000000,M,10,https://suta.in/cdn/shop/files/NettlePashm-3_b909c9f1-b05d-4e63-bc2f-0f5661e83ca2.jpg?v=1765620343,"https://suta.in/cdn/shop/files/NettlePashm-4.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-2_b007e8fe-e406-4a4a-815f-7feb2272c231.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-1.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-2.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-3.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-5.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-1_d4bf8cf1-57cc-4fa9-a455-efd4eb73605f.jpg?v=1765620343,https://suta.in/cdn/shop/files/NettlePashm-4_d9687c8b-f10c-421b-a7e3-bfb08f639715.jpg?v=1765620343"
Nettle Pashm Multicolour Woolen Saree,"Inspired by the wild nettle that thrives fearlessly in the mountains, Nettle Pashm is a tribute to strength wrapped in softness. The black base lends quiet power and depth, while the colourful woven motifs bring a burst of life.",Woolen Blend,Regular,"Wedding,Festive",Dry Wash,Saree,48000,43200,10,true,false,true,false,Original,#000000,M,5,,
Pine Pashm Multicolour Woolen Saree,"Pine Pashm is inspired by pine trees standing tall in misty mountains. The deep black base makes the colourful woven motifs pop, just like sunlight on a forest. Elegant and bold with modern ease.",Woolen Blend,Regular,"Wedding,Festive",Dry Wash,Saree,48000,43200,10,true,false,true,false,Original,#000000,M,10,https://suta.in/cdn/shop/files/PinePashm-1_4f3fd26d-9273-43f9-9795-dd6251d8baa7.jpg?v=1765620465,"https://suta.in/cdn/shop/files/PinePashm-3.jpg?v=1765620465,https://suta.in/cdn/shop/files/PinePashm-4_4ec84478-32a6-4fda-9a85-f8ee423168ba.jpg?v=1765620465,https://suta.in/cdn/shop/files/PinePashm-4.jpg?v=1765620465,https://suta.in/cdn/shop/files/PinePashm-1.jpg?v=1765620465,https://suta.in/cdn/shop/files/PinePashm-2.jpg?v=1765620465,https://suta.in/cdn/shop/files/PinePashm-2_987ec772-c7aa-4706-a7fe-1e5c7e13910d.jpg?v=1765620440,https://suta.in/cdn/shop/files/PinePashm-3_a0b8092b-beb3-43ac-bb3d-7abed47d9f00.jpg?v=1765620440"
Pine Pashm Multicolour Woolen Saree,"Pine Pashm is inspired by pine trees standing tall in misty mountains. The deep black base makes the colourful woven motifs pop, just like sunlight on a forest. Elegant and bold with modern ease.",Woolen Blend,Regular,"Wedding,Festive",Dry Wash,Saree,48000,43200,10,true,false,true,false,Original,#000000,M,5,,
Oviya,"Oviya, a 100% silk Kanjivaram drape is perfect for your festive needs. The mustard saree captures the essence of the bright occasions, with its contrasting red border, intricate zari work, and metallic tassels.",Silk,Regular,"Wedding,Festive",Dry Wash,Saree,26500,23850,10,true,false,true,false,Original,#000000,M,10,https://suta.in/cdn/shop/files/DSC_7676.jpg?v=1732542360,"https://suta.in/cdn/shop/files/Oviya_280ea76f-37d5-47f0-ad2d-ed459f9a0e42.png?v=1733296516,https://suta.in/cdn/shop/files/DSC07216.jpg?v=1732544188,https://suta.in/cdn/shop/files/DSC_7694.jpg?v=1732542360,https://suta.in/cdn/shop/files/DSC_7709.jpg?v=1732542360,https://suta.in/cdn/shop/files/DSC_7727.jpg?v=1732542360,https://suta.in/cdn/shop/files/DSC07208_96902a75-18f8-462c-aee3-dd1be2392cd1.jpg?v=1732544188,https://suta.in/cdn/shop/files/DSC_7715.jpg?v=1732542360,https://suta.in/cdn/shop/files/DSC_7719.jpg?v=1732542360"
Oviya,"Oviya, a 100% silk Kanjivaram drape is perfect for your festive needs. The mustard saree captures the essence of the bright occasions, with its contrasting red border, intricate zari work, and metallic tassels.",Silk,Regular,"Wedding,Festive",Dry Wash,Saree,26500,23850,10,true,false,true,false,Original,#000000,M,5,,
Snow Pea,Blue Green Zari Designer Silk Banarasi Saree - Silk exudes a regality that very few other fabrics can match. The brilliant shine that vibrates from a traditional hand-woven silk fabric spells class and beauty.,Silk,Regular,"Wedding,Festive",Dry Wash,Saree,26050,23445,10,true,false,true,false,Original,#000000,M,10,https://suta.in/cdn/shop/products/snow-pea-635043.jpg?v=1658882573,"https://suta.in/cdn/shop/files/snow-pea-401777.jpg?v=1718349042,https://suta.in/cdn/shop/files/snow-pea-168460.jpg?v=1718349043,https://suta.in/cdn/shop/files/snow-pea-186034.jpg?v=1718349043,https://suta.in/cdn/shop/files/snow-pea-342282.jpg?v=1718349043,https://suta.in/cdn/shop/files/snow-pea-423698.jpg?v=1718349043,https://suta.in/cdn/shop/files/snow-pea-979946.jpg?v=1718349043,https://suta.in/cdn/shop/files/snow-pea-909438.jpg?v=1718349043"
Snow Pea,Blue Green Zari Designer Silk Banarasi Saree - Silk exudes a regality that very few other fabrics can match. The brilliant shine that vibrates from a traditional hand-woven silk fabric spells class and beauty.,Silk,Regular,"Wedding,Festive",Dry Wash,Saree,26050,23445,10,true,false,true,false,Original,#000000,M,5,,
Anvika,"Anvika, a 100% silk Kanjivaram in pink unfolds like the delicate petals of festive blooms. Its intricate zari work and metallic tassels reflect the beauty of nature's simplicity.",Silk,Regular,"Wedding,Festive",Dry Wash,Saree,24750,22275,10,true,false,true,false,Original,#000000,M,10,https://suta.in/cdn/shop/files/DSC_6781_5ee0a160-4159-4a74-aded-415fcf768fee.jpg?v=1733297224,"https://suta.in/cdn/shop/files/Anvika.jpg?v=1733297252,https://suta.in/cdn/shop/files/DSC07144.jpg?v=1732544033,https://suta.in/cdn/shop/files/DSC_6793_7ee48f2a-2d02-46af-b84b-191edbeb68ea.jpg?v=1733297252,https://suta.in/cdn/shop/files/DSC_6847_6fe0ed7d-e08c-48de-8a1b-1cf3829ca461.jpg?v=1733297252,https://suta.in/cdn/shop/files/DSC_6808_9986fa02-9f5f-4178-9253-293157392088.jpg?v=1733297252,https://suta.in/cdn/shop/files/DSC07157.jpg?v=1732544032,https://suta.in/cdn/shop/files/DSC_6831_23adcded-d44d-4f47-9ad7-3b4f441dd767.jpg?v=1733297252,https://suta.in/cdn/shop/files/DSC_6835_298f7a2d-baef-4b36-9d5c-d70931372094.jpg?v=1733297252"
Anvika,"Anvika, a 100% silk Kanjivaram in pink unfolds like the delicate petals of festive blooms. Its intricate zari work and metallic tassels reflect the beauty of nature's simplicity.",Silk,Regular,"Wedding,Festive",Dry Wash,Saree,24750,22275,10,true,false,true,false,Original,#000000,M,5,,
